ccn,validthru,key,pin,quota
3608-2751-5988-1194,Nov/2022,6725,823,1500
3608-2968-4288-1265,Apr/2021,7737,230,1300
3608-1395-5333-1631,Apr/2025,6170,973,1400
3608-2968-5988-1182,Dec/2020,7683,571,1700
3608-2181-4158-1440,Mar/2023,6483,062,1500
3608-1395-5551-1182,Sep/2019,7464,699,2000
3608-2968-4354-1442,Jun/2018,5397,696,1000
3608-1333-5459-1189,Oct/2023,5147,086,1300
3608-1192-5470-1278,Jun/2023,6551,511,1300
3608-1192-5030-1278,Mar/2022,3559,582,1400
3608-2588-5696-1407,Nov/2021,7254,235,1500
3608-2751-5407-1344,Mar/2023,6513,487,1900
3608-2507-5750-1381,Dec/2018,5533,272,1200
3608-1682-4668-1558,May/2020,5956,829,1700
3608-1395-5015-1596,Jul/2018,4611,121,1500
3608-1333-4158-1190,Nov/2022,2645,686,1300
3608-1192-4160-1188,Feb/2020,7475,242,1100
3608-1721-4458-1220,May/2023,5052,881,1900
3608-1192-5459-1442,Mar/2024,5735,193,1800
3608-1782-4329-1593,Dec/2021,4040,318,1800
3608-2181-5638-1980,Dec/2025,5214,522,2000
3608-1721-4038-1157,Jul/2020,5721,811,1900
3608-2751-4657-1476,Nov/2024,7062,868,1600
3608-2067-4657-1055,Oct/2020,2122,331,1200
3608-1333-4383-1623,Oct/2021,2125,758,1900
3608-1782-4264-1551,Dec/2019,7265,048,1000
3608-2596-5745-1465,Sep/2024,6682,300,1400
3608-2588-5459-1572,Jul/2025,3196,138,1500
3608-1192-4657-1761,Dec/2024,6826,361,1000
3608-2588-4344-1838,Apr/2022,2886,067,1700
3608-1333-5750-1188,Oct/2023,6371,703,1100
3608-2751-4668-1705,Nov/2018,2061,442,1400
3608-2067-5791-1292,Jun/2018,3256,811,1800
3608-1333-5691-1593,May/2021,7586,304,1000
3608-1395-5638-1839,May/2019,2559,376,1800
3608-1395-4580-1435,Jun/2023,5139,596,1400
3608-1782-5407-1428,Oct/2022,3935,753,1800
3608-2067-4523-1255,Oct/2024,6240,331,1700
3608-1782-5691-1717,Jul/2018,6813,545,1500
3608-2800-4994-1475,May/2024,2815,751,1200
3608-2181-4445-1278,Aug/2018,3539,786,1700
3608-1192-4344-1475,May/2018,7369,570,1200
3608-2751-5333-1220,Nov/2021,5647,073,1000
3608-1333-5691-1344,Sep/2024,2261,491,1000
3608-1395-4344-1037,Mar/2025,7206,923,1500
3608-2800-5196-1134,Sep/2022,3874,103,1900
3608-1395-5489-1821,Jul/2024,7623,755,1600
3608-2067-5152-1623,May/2021,7284,328,1300
3608-1721-4445-1745,Aug/2024,7448,440,1600
3608-1333-5489-1558,Dec/2021,2872,026,1700
3608-2067-5884-1292,Oct/2025,7710,860,1900
3608-2596-4264-1300,Mar/2024,4387,698,1800
3608-2968-4523-1983,Sep/2025,2034,310,1100
3608-1721-5691-1693,Jan/2023,5929,591,1500
3608-1721-4523-1181,Nov/2023,1981,574,1100
3608-1395-5407-1052,Jul/2018,3011,015,1700
3608-1782-5152-1381,Jul/2022,5124,256,1400
3608-2181-5745-1037,Oct/2022,4722,863,1600
3608-1721-5489-1614,Jun/2020,7147,438,1800
3608-2751-5470-1121,Apr/2023,2817,171,1400
3608-2181-5196-1613,Oct/2023,4265,888,1700
3608-1721-4288-1892,Oct/2025,2221,243,1600
3608-2968-4458-1055,Mar/2022,2544,420,1100
3608-2507-5132-1292,Nov/2024,6753,266,1100
3608-1192-4038-1216,Nov/2018,2787,393,1900
3608-1682-5152-1157,May/2018,2811,139,1700
3608-2507-4005-1300,Dec/2022,5968,363,1400
3608-2800-4994-1014,Feb/2018,3472,619,1500
3608-2588-5632-1394,Jan/2022,6382,614,1100
3608-1333-4951-1916,Nov/2022,4504,941,1700
3608-1333-5038-1717,Jun/2019,4098,166,1600
3608-2596-4264-1856,Feb/2023,3588,867,1100
3608-2507-4038-1968,Aug/2019,4325,390,1100
3608-2588-5696-1558,Jun/2022,5258,113,1900
3608-1682-4344-1053,Mar/2021,4155,175,1900
3608-2751-4158-1804,Aug/2018,5107,435,1900
3608-2181-5890-1668,Jun/2022,5326,168,1300
3608-2596-4580-1053,Jun/2023,4997,895,1200
3608-1395-4445-1617,Nov/2019,3008,222,1700
3608-1192-5988-1351,May/2021,6408,683,1400
3608-2181-4344-1837,Jun/2023,7335,738,2000
3608-2800-5551-1660,Jul/2023,7811,272,1700
3608-2751-5132-1718,Aug/2024,7784,132,1600
3608-2596-5983-1900,Sep/2024,3779,745,1700
3608-1721-5038-1215,Apr/2024,5428,488,1500
3608-1395-5196-1705,Feb/2022,6893,428,1800
3608-2181-4394-1068,May/2020,4938,657,1400
3608-1395-5333-1194,Mar/2018,7926,770,1500
3608-2507-5634-1613,Jun/2022,4488,890,2000
3608-2067-5791-1976,Dec/2018,2245,813,1800
3608-2067-5756-1129,May/2025,3466,655,2000
3608-2800-5696-1399,Dec/2020,4127,495,1900
3608-2067-5983-1794,Oct/2023,6651,576,1600
3608-2751-5632-1189,Jun/2025,3025,400,2000
3608-2968-4329-1194,Jul/2019,6163,988,1000
3608-1682-5745-1440,Apr/2022,1988,275,1500
3608-2968-4005-1844,Jul/2024,2797,945,1400
3608-2800-4383-1214,Jan/2021,7673,620,1000
3608-1721-5196-1931,Jun/2023,3346,023,1000
3608-1682-5691-1130,Dec/2024,4834,609,1000
3608-1721-5030-1668,Jan/2020,7948,854,1400
3608-2588-4445-1094,Nov/2019,5770,927,1100
3608-1333-4158-1761,Jun/2019,4548,106,1100
3608-1782-4657-1215,Dec/2018,4457,791,1100
3608-1682-4158-1407,Apr/2018,3441,830,1800
3608-2588-5634-1474,Jun/2019,6190,271,1200
3608-1333-4160-1631,Jan/2022,3876,397,1200
3608-2800-5696-1476,Dec/2020,3090,008,1700
3608-2067-5745-1631,Nov/2025,6565,308,1500
3608-2596-4354-1629,Aug/2018,1986,976,1700
3608-2067-5745-1960,Oct/2018,6922,690,1200
3608-2751-5489-1465,Aug/2023,7737,857,1900
3608-1782-4856-1821,Apr/2020,4066,736,1200
3608-1192-5745-1435,Apr/2025,4807,489,1200
3608-1395-5030-1185,Sep/2019,3360,474,1600
3608-2507-4994-1355,Sep/2018,3463,791,1400
3608-1782-4383-1795,Sep/2020,3471,738,1500
3608-1782-4354-1614,Mar/2025,5585,451,1600
3608-1192-5030-1518,Apr/2025,2891,951,1000
3608-2507-4264-1442,Mar/2018,7501,221,1200
3608-2507-5634-1931,Jan/2018,2228,139,1400
3608-2751-5766-1038,Jan/2024,5915,345,1700
3608-2588-5152-1440,Nov/2025,5663,230,1700
3608-2968-5724-1014,Jul/2019,7018,973,1800
3608-1782-5030-1014,Feb/2023,5991,779,1400
3608-2588-5015-1915,Aug/2018,3883,288,2000
3608-2067-4264-1129,Dec/2025,2446,572,1100
3608-1395-5394-1355,Oct/2019,5633,589,1800
3608-2968-4236-1794,Jul/2022,4436,959,2000
3608-2181-5632-1537,Jul/2025,6546,780,1100
3608-2507-4342-1344,Sep/2024,3398,222,1200
3608-2968-4580-1583,Apr/2018,5942,313,1800
3608-1721-4445-1440,Jan/2023,6046,758,1100
3608-2507-4523-1999,Mar/2022,4520,012,1300
3608-1682-4458-1828,Jan/2022,4482,305,1800
3608-2800-5696-1844,Oct/2019,3521,135,1800
3608-2596-5632-1245,Apr/2025,5735,184,1000
3608-2181-5489-1631,Sep/2023,4338,818,1700
3608-2596-4657-1935,Feb/2024,3669,298,1300
3608-1782-4264-1399,Nov/2018,7933,715,1300
3608-2181-4383-1839,Jul/2021,6914,435,1100
3608-2507-4580-1052,Jun/2021,2371,004,1700
3608-2800-5691-1838,Jan/2019,8047,683,1400
3608-1782-5750-1794,Dec/2021,3325,550,1300
3608-2751-4342-1668,Jan/2020,2545,238,1500
3608-1682-5333-1558,May/2021,8048,119,1500
3608-2067-5459-1255,May/2022,7947,170,2000
3608-1782-4329-1181,Aug/2023,3955,812,1900
3608-1782-4523-1245,Sep/2021,3367,635,1300
3608-1333-4038-1637,Mar/2019,2513,784,1900
3608-2507-5030-1217,Sep/2019,5889,941,1100
3608-1682-5750-1838,Feb/2022,3654,340,1600
3608-1192-5152-1465,Aug/2025,4084,864,1500
3608-2751-4318-1157,Sep/2024,2903,631,1400
3608-1333-4160-1014,Feb/2020,7428,817,1600
3608-1782-5458-1603,Aug/2022,4113,278,1800
3608-1782-4394-1383,Jul/2020,6836,464,1600
3608-2751-4951-1795,Dec/2023,7633,256,1900
3608-1721-4288-1399,Feb/2022,2236,754,1800
3608-1721-5407-1551,Aug/2025,2027,077,1200
3608-1782-5458-1935,Nov/2023,6311,407,1000
3608-2181-5724-1037,Mar/2024,4209,475,1000
3608-2800-5458-1244,Jul/2021,6162,825,1800
3608-2596-5333-1892,Nov/2025,7876,951,1200
3608-2588-5724-1053,Dec/2025,7764,383,1000
3608-1333-4458-1245,Aug/2019,4419,507,1400
3608-2751-5791-1351,Apr/2025,2517,607,1700
3608-2181-5407-1435,Nov/2018,3864,779,1500
3608-1721-4038-1407,May/2020,7203,628,1300
3608-2751-5030-1474,Jul/2018,3582,904,1900
3608-2067-4236-1475,Mar/2021,3242,820,1900
3608-2751-5030-1024,Feb/2020,4416,090,1700
3608-1333-5745-1976,Jan/2024,4251,724,1200
3608-1395-5724-1322,May/2023,4003,052,1300
3608-1333-4354-1999,Aug/2024,7778,339,1600
3608-2800-5756-1589,Jul/2025,6429,462,1800
3608-2968-5333-1185,Dec/2019,4830,119,1100
3608-2968-5724-1198,Feb/2018,2333,152,1500
3608-1721-4394-1717,Jul/2024,6782,674,1400
3608-2181-5638-1109,Apr/2021,7743,975,1500
3608-2800-4288-1629,Mar/2025,2949,647,1300
3608-1782-4711-1497,Apr/2018,4860,946,1400
3608-1333-4264-1037,Dec/2022,3752,539,2000
3608-1192-5489-1053,Jun/2023,7045,506,1900
3608-2181-5333-1300,Aug/2022,7473,325,2000
3608-2751-4445-1465,Jun/2025,3818,536,1100
3608-2968-4668-1838,Jun/2023,5598,179,1800
3608-2968-5458-1442,Jun/2019,7359,815,2000
3608-2800-4856-1717,Mar/2020,7796,692,1900
3608-2067-5551-1744,Jan/2023,6101,437,1800
3608-2800-5407-1301,Jun/2018,5383,314,1800
3608-1395-4160-1351,Apr/2021,5905,635,1100
3608-2968-5394-1442,Dec/2021,3786,694,1800
3608-2507-4951-1182,Feb/2019,5615,316,1700
3608-2800-4711-1054,May/2023,2612,911,1800
3608-1333-4445-1394,Aug/2018,7448,761,1100
3608-2067-5458-1216,Feb/2020,6098,965,1100
3608-2588-4038-1844,Oct/2025,7222,533,2000
3608-2968-5152-1718,Dec/2020,2907,944,1000
3608-2507-4711-1668,May/2018,5565,417,1100
3608-1682-5038-1185,Aug/2025,2040,738,2000
3608-2596-4668-1999,May/2018,5908,529,1600
3608-1192-5766-1828,Oct/2025,3801,846,1200
3608-1721-4329-1300,Nov/2018,2440,356,1600
3608-1682-4344-1134,Sep/2022,3195,870,1500
3608-2968-5132-1216,May/2023,2410,022,1700
3608-2507-5884-1476,Sep/2019,6603,380,2000
3608-2596-4354-1976,May/2025,7709,411,1800
3608-2067-5015-1134,Sep/2023,7530,153,1400
3608-2588-4344-1130,Feb/2024,2340,629,1000
3608-2067-4523-1140,Mar/2022,2568,778,1200
3608-2507-5196-1181,Jun/2022,4524,957,1400
3608-2067-4856-1603,Oct/2022,2650,111,2000
3608-1682-4344-1931,Dec/2023,2084,343,2000
3608-2968-4329-1717,Jan/2025,5642,369,1800
3608-2067-5691-1744,Dec/2025,2487,691,1800
3608-1682-5458-1475,Sep/2024,2446,989,2000
3608-1782-5791-1435,Sep/2021,4642,178,1900
3608-2507-4657-1054,Nov/2023,5046,798,1700
3608-2507-5691-1182,Jul/2019,4767,724,1100
3608-2968-4342-1980,Feb/2021,7067,383,1900
3608-1395-5458-1399,Apr/2020,5661,308,1400
3608-1395-4038-1761,Sep/2025,3758,236,1900
3608-1682-4038-1589,Feb/2023,2262,487,1000
3608-1721-4657-1157,Apr/2020,5064,283,1900
3608-2507-4394-1265,Aug/2022,5020,053,1500
3608-2968-5152-1068,Feb/2022,6743,297,1000
3608-2596-4458-1596,Sep/2021,2617,960,1200
3608-2968-5634-1188,May/2023,6793,012,1100
3608-2596-4580-1828,Mar/2020,5400,715,1500
3608-2800-5745-1558,Feb/2023,6434,951,1900
3608-1682-4994-1215,Nov/2022,2770,883,1200
3608-1333-4329-1306,Nov/2023,4988,446,1800
3608-1682-4580-1976,Dec/2021,7713,431,1300
3608-1682-4318-1668,Feb/2025,2268,342,1500
3608-2588-4523-1055,Nov/2023,7484,579,1400
3608-2507-5983-1198,Dec/2020,2908,689,1200
3608-2588-5791-1189,Feb/2024,2112,362,1900
3608-1395-5983-1185,Jul/2025,4607,609,1300
3608-2181-4711-1130,Feb/2025,7746,956,1400
3608-2507-5132-1009,May/2023,6544,918,1600
3608-2800-5634-1475,Apr/2023,5287,327,1800
3608-1395-5890-1377,Nov/2025,5476,880,1900
3608-1192-5015-1306,Jan/2024,2602,922,1000
3608-2067-5132-1094,Mar/2024,4417,294,1000
3608-2596-5750-1129,Jan/2018,4062,536,1700
3608-1192-5638-1983,Jun/2018,6889,174,1300
3608-1192-5038-1744,Feb/2020,3276,420,1500
3608-2507-5766-1646,Aug/2025,7054,255,1200
3608-1682-5634-1844,May/2021,3011,845,1500
3608-1782-5634-1474,Dec/2025,4144,193,1600
3608-1395-5551-1900,Aug/2025,5478,009,1100
3608-2968-5470-1009,May/2019,5868,985,1300
3608-1782-4354-1794,Aug/2025,3973,966,1000
3608-1333-4329-1121,Sep/2018,7851,054,1000
3608-2507-4329-1637,Feb/2020,4965,056,1400
3608-1721-4005-1140,Apr/2023,7275,772,1100
3608-1682-4354-1551,Jan/2018,4862,375,1400
3608-1721-5638-1440,Nov/2020,3830,083,1200
3608-1333-5724-1189,Jul/2018,6839,490,1300
3608-1782-5724-1936,Sep/2025,4125,712,1900
3608-2067-4354-1265,Jul/2022,6338,902,2000
3608-2181-4160-1718,Aug/2018,3590,393,2000
3608-2751-5132-1682,Nov/2018,3440,164,1900
3608-1782-4994-1245,Mar/2023,6032,540,1200
3608-1395-4160-1999,Jul/2022,4904,555,1900
3608-1395-4445-1936,Mar/2018,4902,580,1000
3608-2751-4038-1892,Oct/2021,2357,734,1600
3608-2751-5884-1583,May/2023,2553,853,1200
3608-2968-4994-1558,Nov/2023,7465,509,1500
3608-1782-5132-1265,May/2019,2150,741,1100
3608-2968-4158-1999,Nov/2024,5351,706,1800
3608-2800-4354-1292,Aug/2025,5297,447,1200
3608-2800-5152-1983,Jun/2025,7771,694,1400
3608-1682-4318-1245,Feb/2024,3688,847,1300
3608-1682-5407-1278,Nov/2018,7018,821,1600
3608-1782-4318-1055,Mar/2024,3318,752,1900
3608-2507-4580-1014,Oct/2021,2663,086,1600
3608-2181-4344-1637,Apr/2023,6939,142,1100
3608-1395-4445-1583,May/2019,4721,313,2000
3608-2751-4318-1189,Oct/2022,5195,671,1300
3608-1682-5333-1351,Jan/2019,5028,816,1200
3608-1721-4264-1794,Sep/2021,5301,703,1600
3608-2800-5196-1537,May/2024,4399,559,1100
3608-2800-4005-1037,Apr/2019,3985,419,1400
3608-2751-4458-1745,Oct/2020,6020,829,1400
3608-1721-5489-1717,Aug/2024,6962,749,1500
3608-1721-5458-1686,Dec/2023,5935,028,1400
3608-2751-5691-1900,May/2020,7369,248,2000
3608-2181-5489-1344,May/2025,3822,557,1900
3608-2067-4342-1292,Jun/2022,4848,010,2000
3608-1721-5551-1617,Feb/2021,7931,571,1300
3608-2968-4580-1686,Dec/2018,2330,479,1500
3608-2507-5333-1440,Jun/2022,2801,105,1800
3608-2067-5152-1407,Sep/2025,6076,888,1500
3608-1721-4160-1745,May/2021,4316,223,1800
3608-1682-5030-1646,Oct/2018,2375,432,1700
3608-2588-5407-1185,Jul/2023,7264,644,1100
3608-2800-4668-1686,Oct/2024,2154,079,1800
3608-2968-4344-1593,Feb/2024,6961,518,1100
3608-2968-5015-1537,Jun/2021,2126,324,1500
3608-1721-5407-1068,Nov/2021,2119,248,1100
3608-1721-4668-1614,Aug/2024,3481,750,1200
3608-2596-4383-1844,Oct/2022,2566,874,2000
3608-2968-5983-1189,Mar/2023,4258,065,1600
3608-2507-4038-1915,May/2021,3725,658,2000
3608-2800-4329-1361,Nov/2018,6453,084,1600
3608-2507-5394-1838,Jan/2024,3030,534,1300
3608-2067-5030-1518,Jan/2022,7732,658,1400
3608-2968-4318-1476,Dec/2021,4494,859,1200
3608-1782-5551-1744,Jun/2024,2839,876,1500
3608-1721-4264-1596,Jul/2020,5011,331,1700
3608-2507-5745-1915,Aug/2019,5364,043,1100
3608-2588-4236-1821,Jan/2021,6943,950,1300
3608-1682-5756-1551,Mar/2024,5018,222,1000
3608-1333-4580-1693,Dec/2023,3500,342,1600
3608-2596-5132-1474,Mar/2023,3860,907,1800
3608-1333-5132-1244,Nov/2021,7425,381,1300
3608-1721-4580-1476,Dec/2024,7147,076,1100
3608-1192-5152-1181,Nov/2022,2761,819,1000
3608-1782-4445-1465,Oct/2024,3204,351,1500
3608-1682-4668-1163,Aug/2021,7428,102,1300
3608-1782-4160-1381,Jan/2020,5868,759,1100
3608-1395-4318-1673,Jan/2022,2856,770,1100
3608-1395-4318-1475,Feb/2019,5052,449,1100
3608-2751-5632-1442,Jul/2025,2800,930,1800
3608-2181-4523-1744,May/2024,2028,124,1800
3608-1333-4383-1394,Oct/2018,4377,658,1300
3608-1395-5791-1064,Jun/2022,4821,929,2000
3608-1682-5030-1900,Dec/2019,7859,648,1500
3608-2800-5756-1686,Jan/2025,3667,509,1800
3608-2751-4038-1518,Jul/2024,4001,941,1800
3608-2067-4288-1717,Feb/2024,7100,672,1000
3608-2968-5766-1300,Oct/2019,5193,623,1000
3608-1333-5470-1220,May/2019,4480,829,1700
3608-1782-5551-1623,Sep/2023,7347,407,2000
3608-2067-5394-1597,Nov/2021,6065,828,1800
3608-2968-4288-1053,Aug/2019,5137,196,1100
3608-2067-4264-1344,Jun/2018,6891,890,1000
3608-1682-5489-1660,Dec/2025,2215,649,2000
3608-2596-5791-1980,Nov/2019,2446,613,1600
3608-2588-4160-1129,Jun/2021,5262,368,1900
3608-1721-5152-1121,May/2020,2815,401,1600
3608-1333-4951-1614,Aug/2025,4024,624,1100
3608-2067-4657-1915,May/2025,5419,379,1000
3608-2800-5638-1761,Dec/2024,5899,580,1800
3608-1782-5394-1198,Jan/2021,5038,466,1000
3608-2800-5458-1936,Jul/2023,3023,544,1700
3608-2800-5745-1068,Jun/2022,7917,474,1800
3608-1682-4668-1900,Jul/2024,4338,969,2000
3608-2507-5791-1068,May/2025,3827,708,1800
3608-1192-5132-1646,Aug/2021,2544,587,1200
3608-1682-5884-1014,Dec/2023,7337,161,1700
3608-2181-4318-1214,Oct/2020,3111,503,1200
3608-2181-4318-1795,Feb/2020,7143,032,2000
3608-2596-5750-1583,Dec/2021,6755,035,1500
3608-2968-5394-1583,Jan/2021,2433,667,1100
3608-1333-4445-1828,Oct/2022,6936,428,1500
3608-1192-4354-1121,Sep/2021,2403,148,1200
3608-2181-5015-1056,May/2024,6869,122,2000
3608-2067-4342-1265,Aug/2018,3626,883,1400
3608-2507-4458-1915,Jan/2019,7594,095,1300
3608-1333-4951-1189,Oct/2025,5725,497,1700
3608-1333-5634-1623,Apr/2025,4970,144,1600
3608-2067-5489-1936,Sep/2019,2178,634,1600
3608-2800-4318-1668,Dec/2019,6621,525,1600
3608-2588-4458-1440,Sep/2023,7275,442,1000
3608-1682-5015-1960,Apr/2021,6680,217,2000
3608-2181-4523-1217,Oct/2023,3312,418,1100
3608-2968-5983-1121,Apr/2023,2291,973,1000
3608-1782-5983-1094,Jun/2020,2121,120,1400
3608-1192-4951-1915,Feb/2019,7529,651,1500
3608-2596-4038-1718,May/2021,7766,202,1500
3608-2800-4856-1794,Feb/2018,6741,182,1000
3608-2588-5884-1629,Jun/2021,2728,756,1000
3608-2751-4005-1274,Aug/2020,1972,097,1700
3608-2067-4394-1024,May/2018,7197,146,1100
3608-2067-4951-1976,May/2025,5149,336,1800
3608-2067-4383-1596,Mar/2024,6093,300,1200
3608-2968-4354-1892,Apr/2024,3176,717,1000
3608-2596-4856-1301,Oct/2024,7295,710,1600
3608-1395-5638-1428,Aug/2023,2182,510,1900
3608-1333-4160-1915,Oct/2023,3647,664,1400
3608-2067-5489-1844,Feb/2018,2225,820,1200
3608-1682-4005-1614,Feb/2021,6677,276,1000
3608-2588-4344-1646,Feb/2025,5476,186,1900
3608-2800-4580-1915,Jul/2018,4107,907,1800
3608-1333-5394-1629,Mar/2025,4697,823,1000
3608-2588-4458-1292,Nov/2023,6030,999,1900
3608-2067-4288-1255,Jul/2025,4652,074,1800
3608-2067-5152-1181,Nov/2024,6137,181,1800
3608-1721-5632-1660,Aug/2018,4856,116,1700
3608-2067-4288-1134,Nov/2018,2170,413,1900
3608-1333-5152-1745,May/2022,3415,182,1100
3608-1682-5459-1300,Nov/2021,4213,117,1800
3608-2800-4458-1185,Mar/2022,6413,130,1100
3608-2968-4318-1613,Mar/2021,5049,322,1700
3608-2507-5632-1216,Apr/2024,7263,995,1500
3608-2751-5745-1596,May/2018,4874,165,1400
3608-2507-5750-1474,Aug/2021,3125,734,1000
3608-1333-5890-1613,Oct/2023,4448,955,1200
3608-2507-4344-1094,Jan/2020,7494,133,1300
3608-1721-5983-1613,Apr/2023,5628,125,1800
3608-1333-4329-1465,Dec/2021,2305,942,1900
3608-2067-5458-1407,Nov/2023,3274,314,1000
3608-1682-5489-1053,Apr/2019,7071,800,1000
3608-1782-4158-1935,Apr/2021,3407,307,1200
3608-2596-4038-1821,Aug/2023,5577,212,1200
3608-2181-5394-1121,Dec/2019,6953,755,2000
3608-2181-5791-1344,Oct/2021,5191,447,1300
3608-2181-5638-1361,Feb/2023,2878,110,1000
3608-2181-4711-1976,Apr/2019,6588,986,1900
3608-1682-4160-1597,May/2019,6851,474,1700
3608-2800-5333-1157,Nov/2023,7229,750,2000
3608-2507-5890-1344,Feb/2021,5698,257,1700
3608-1782-4458-1693,Sep/2019,2980,529,1400
3608-1782-4668-1537,Oct/2021,7188,465,1700
3608-2067-5470-1361,Jul/2020,3924,585,1000
3608-2588-4038-1915,Nov/2023,6230,608,1400
3608-2968-4994-1682,Dec/2019,6848,419,1500
3608-2596-4318-1052,May/2023,6190,919,1900
3608-1682-4038-1068,Aug/2019,7751,730,1300
3608-2507-4236-1134,Mar/2019,5701,745,1400
3608-2596-4236-1244,Feb/2022,2410,918,1400
3608-2181-5458-1322,Jun/2024,6931,072,1400
3608-2751-5152-1745,Apr/2025,6558,191,1200
3608-2588-4318-1052,Jul/2021,5809,228,1700
3608-1395-4994-1465,Oct/2018,4633,351,1200
3608-2507-4383-1024,Oct/2021,7183,630,1700
3608-2800-5196-1614,Jun/2019,7603,314,1000
3608-2596-5691-1465,Jan/2021,2410,413,1000
3608-2800-4394-1837,Nov/2018,3676,873,1000
3608-1721-4711-1844,Oct/2018,5501,227,1100
3608-2588-5152-1068,Sep/2020,3031,263,1200
3608-1333-5132-1465,Jun/2020,3165,448,2000
3608-2588-4951-1134,Jun/2021,4736,899,1300
3608-2067-5756-1442,Aug/2025,2446,387,1000
3608-2968-5333-1053,Oct/2022,3768,612,1200
3608-2968-4354-1589,Aug/2025,5400,196,1300
3608-2588-4329-1617,May/2019,6263,001,1300
3608-1192-5489-1960,Sep/2022,6158,444,1200
3608-1395-5890-1056,May/2024,6742,131,1100
3608-2968-4994-1983,Apr/2018,2693,235,1600
3608-1682-4523-1361,Apr/2021,6164,103,1000
3608-2751-4318-1265,Sep/2023,4930,281,1400
3608-1395-4158-1121,Aug/2024,5084,077,1500
3608-2067-5696-1383,Feb/2018,5162,807,2000
3608-2181-5750-1976,Aug/2022,7392,414,1600
3608-1721-5724-1693,Jun/2020,7920,891,1300
3608-2507-4445-1537,Aug/2022,4417,730,1800
3608-2968-5551-1109,May/2025,6225,149,1500
3608-1782-5458-1129,May/2021,2621,764,1100
3608-1721-5132-1718,Jul/2018,3911,204,2000
3608-1192-5750-1804,Dec/2020,2065,303,1600
3608-1333-5551-1300,Feb/2022,4765,314,1000
3608-2596-4383-1038,Dec/2020,7310,343,1700
3608-2800-5634-1960,Apr/2024,3476,756,1400
3608-2968-5152-1255,Oct/2020,3517,800,1000
3608-1333-4445-1980,Oct/2021,6280,622,1500
3608-2507-4005-1804,Aug/2024,5407,163,2000
3608-1721-4711-1915,Apr/2018,4677,834,2000
3608-2751-4394-1465,Dec/2024,3311,602,1500
3608-2968-5459-1182,Jul/2021,4684,497,2000
3608-2507-5890-1465,Sep/2019,2695,399,1500
3608-1721-5470-1351,Jan/2021,4747,484,1800
3608-1782-4523-1188,May/2022,7860,773,1300
3608-2067-4856-1660,Jan/2025,4982,949,1800
3608-2968-5890-1900,Jun/2022,3316,648,1400
3608-1721-4344-1024,Oct/2018,7692,478,1300
3608-2067-5766-1053,Aug/2020,6323,367,1000
3608-2596-5015-1551,Oct/2018,6026,751,1300
3608-1395-5015-1795,Sep/2018,5133,649,1200
3608-2968-4458-1980,Oct/2020,5036,744,1000
3608-1333-5030-1215,Aug/2018,5164,191,1300
3608-2507-5196-1761,Sep/2019,2689,086,1000
3608-2588-5983-1686,Jan/2019,3882,085,1700
3608-1192-4236-1475,Dec/2021,6046,272,1800
3608-2751-5890-1744,Apr/2018,5705,705,1200
3608-1192-5884-1440,Jul/2025,3020,858,1700
3608-2751-4288-1518,Oct/2022,4911,672,1100
3608-1782-4160-1037,Oct/2021,7287,890,1300
3608-2181-4383-1804,Feb/2020,5270,338,2000
3608-2181-5983-1383,Oct/2025,6258,655,1400
3608-2588-4354-1983,Dec/2020,7817,885,1300
3608-1333-4342-1214,Sep/2018,1963,823,1900
3608-2751-4342-1355,Mar/2018,3012,505,1200
3608-1395-5756-1960,Dec/2023,6554,417,1800
3608-2067-4994-1216,May/2018,7028,227,1100
3608-1333-4160-1597,Dec/2024,6492,756,1500
3608-2800-4668-1244,Oct/2020,2444,476,2000
3608-2507-4158-1603,Aug/2022,5848,004,2000
3608-2507-5745-1190,Mar/2022,7583,385,1400
3608-2751-5489-1109,Nov/2021,7636,516,1600
3608-1682-4318-1214,Jun/2022,4574,385,1900
3608-1721-5459-1839,Nov/2020,7263,722,1500
3608-2968-5551-1795,Mar/2021,6340,191,1600
3608-1721-5489-1300,Dec/2023,4389,861,1800
3608-1192-4711-1617,Oct/2021,2628,817,1700
3608-1682-5407-1693,May/2018,2326,276,1400
3608-1333-5196-1188,Nov/2022,7514,268,2000
3608-2181-5459-1828,Sep/2020,3336,042,2000
3608-2751-5030-1623,Jan/2025,6017,412,1600
3608-1333-5884-1537,May/2025,6434,819,1300
3608-2968-4445-1646,Jun/2019,7588,260,2000
3608-2968-5038-1629,Jul/2020,3036,488,1800
3608-2596-4288-1474,Sep/2023,4623,584,1600
3608-1333-5470-1194,Jun/2024,3828,466,1900
3608-2596-5750-1892,Jan/2021,4075,341,1900
3608-2596-5333-1129,Sep/2025,4396,693,1500
3608-2588-5766-1613,Dec/2021,7516,592,1800
3608-2507-5489-1322,Nov/2020,6020,110,1900
3608-1721-4342-1292,Jul/2019,3511,139,1800
3608-1395-5638-1128,Jun/2024,2512,306,1900
3608-2800-4445-1220,Dec/2018,7777,671,1900
3608-1333-5489-1518,Nov/2025,7729,797,1900
3608-2067-4329-1064,Jan/2021,5471,831,1000
3608-1682-5638-1094,Apr/2022,4623,638,1300
3608-2800-4288-1217,Jan/2020,6827,830,1300
3608-2181-5632-1052,Oct/2025,5364,113,1500
3608-2968-5030-1673,Nov/2020,7110,571,1200
3608-1333-4657-1185,Dec/2024,2353,746,1500
